ID,Site_NEW,Triplicate_NEW,Zone,LOI
1,A,A,Oxidized,7.127755965
2,A,B,Oxidized,7.207034984
3,A,C,Oxidized,6.542056075
4,B,A,Oxidized,11.23227917
5,B,B,Oxidized,6.145048561
6,B,C,Oxidized,5.069815387
7,C,A,Oxidized,5.527043032
8,C,B,Oxidized,4.263931993
9,C,C,Oxidized,5.389085969
10,D,A,Oxidized,4.57611795
11,D,B,Oxidized,3.760233107
12,D,C,Oxidized,3.530779586
13,E,A,Oxidized,3.71864065
14,E,B,Oxidized,4.638732462
15,E,C,Oxidized,4.24616742
16,F,A,Oxidized,3.779860901
17,F,B,Oxidized,4.101096805
18,F,C,Oxidized,4.281098546
19,G,A,Oxidized,2.967394556
20,G,B,Oxidized,3.182627269
21,G,C,Oxidized,3.134488301
22,H,A,Oxidized,7.239976758
23,H,B,Oxidized,7.89345302
24,H,C,Oxidized,7.099738715
25,I,A,Oxidized,1.263271066
26,I,B,Oxidized,1.085414302
27,I,C,Oxidized,1.352422209
28,J,A,Oxidized,4.829518014
29,J,B,Oxidized,4.28659449
30,K,A,Oxidized,3.950487227
31,K,B,Oxidized,4.120939022
32,K,C,Oxidized,4.85694865
33,L,A,Oxidized,7.791683488
34,L,B,Oxidized,8.949310015
35,L,C,Oxidized,15.84360233
36,M,A,Oxidized,4.859861147
37,M,B,Oxidized,5.344234079
38,M,C,Oxidized,5.997662081
39,N,A,Oxidized,8.239264518
40,N,B,Oxidized,9.511854951
41,N,C,Oxidized,7.736708861
42,O,A,Oxidized,19.12620046
43,O,B,Oxidized,17.61609545
44,O,C,Oxidized,14.58
45,P,C,Oxidized,33.10538527
46,P,B,Oxidized,30.82832154
47,P,A,Oxidized,32.10603829
48,R,A,Oxidized,33.17858796
49,R,B,Oxidized,31.12307563
50,S,A,Oxidized,2.260999457
51,S,B,Oxidized,3.096763595
52,S,C,Oxidized,1.237683249
53,T,A,Oxidized,22.98929589
54,T,B,Oxidized,26.2541089
55,T,C,Oxidized,30.46611124
56,U,A,Oxidized,26.28852285
57,U,B,Oxidized,29.34598441
58,U,C,Oxidized,28.70756403
59,V,A,Oxidized,20.71008041
60,V,B,Oxidized,24.26561174
61,V,C,Oxidized,23.97427166
62,X,A,Oxidized,7.959861221
63,X,B,Oxidized,42.60708807
64,X,C,Oxidized,19.34308469
65,C,A,Transition,5.629487793
66,C,B,Transition,3.828451883
67,C,C,Transition,3.155244315
68,D,A,Transition,5.598472355
69,D,B,Transition,5.177656155
70,D,C,Transition,6.068037975
71,F,A,Transition,4.188563809
72,F,B,Transition,5.023581535
73,F,C,Transition,4.494241362
74,G,A,Transition,2.622488544
75,G,B,Transition,3.247663551
76,G,C,Transition,2.70790378
77,H,A,Transition,6.563233643
78,H,B,Transition,8.126084442
79,H,C,Transition,7.09889208
80,I,A,Transition,1.688193365
81,I,B,Transition,1.604544549
82,J,A,Transition,7.053665046
83,J,B,Transition,5.670816044
84,J,C,Transition,5.914855072
85,K,A,Transition,4.219030521
86,K,B,Transition,3.642868759
87,K,C,Transition,4.577061878
88,L,A,Transition,6.669507778
89,L,B,Transition,8.281967948
90,L,C,Transition,6.360699566
91,M,A,Transition,5.092314298
92,M,B,Transition,4.582484725
93,M,C,Transition,4.578858112
94,N,A,Transition,5.546377154
95,N,B,Transition,5.903714464
96,N,C,Transition,5.107640355
97,O,A,Transition,17.87042254
98,O,B,Transition,23.00183038
99,O,C,Transition,23.72147915
100,P,C,Transition,29.86677015
101,P,B,Transition,34.45616883
102,P,A,Transition,33.12982533
103,R,A,Transition,22.1993253
104,S,A,Transition,2.14944743
105,S,B,Transition,2.468228899
106,S,C,Transition,0.447247194
107,T,A,Transition,30.4508356
108,T,B,Transition,29.06352778
109,T,C,Transition,28.45839714
110,U,A,Transition,27.38841034
111,U,B,Transition,29.78925384
112,U,C,Transition,30.10632345
113,V,A,Transition,26.07599056
114,V,B,Transition,26.37199457
115,V,C,Transition,27.10101966
116,X,A,Transition,7.764836819
117,X,B,Transition,3.05308883
118,X,C,Transition,21.42444248
119,B,A,Reduced,8.910610568
120,B,B,Reduced,8.673610471
121,B,C,Reduced,8.660636848
122,C,A,Reduced,3.566771497
123,C,B,Reduced,3.354194501
124,C,C,Reduced,3.166060945
125,D,A,Reduced,4.810887799
126,D,B,Reduced,5.053257369
127,D,C,Reduced,4.93125045
128,F,A,Reduced,4.510139584
129,F,B,Reduced,4.266211604
130,F,C,Reduced,4.733856894
131,G,A,Reduced,2.741877901
132,G,B,Reduced,2.776649059
133,G,C,Reduced,3.548387097
134,H,A,Reduced,6.413141314
135,H,B,Reduced,6.334242306
136,H,C,Reduced,6.726361795
137,I,A,Reduced,2.440994346
138,I,B,Reduced,1.668882979
139,I,C,Reduced,2.384998867
140,J,A,Reduced,6.196501675
141,J,C,Reduced,5.589297439
142,K,A,Reduced,3.397996703
143,K,B,Reduced,3.225257425
144,K,C,Reduced,3.397884167
145,L,A,Reduced,8.308945158
146,L,B,Reduced,6.746310611
147,L,C,Reduced,7.618002195
148,M,A,Reduced,4.641624894
149,M,B,Reduced,4.715460945
150,M,C,Reduced,4.98351509
151,N,A,Reduced,4.88726704
152,N,B,Reduced,4.992539883
153,N,C,Reduced,4.444889378
154,O,A,Reduced,25.46854083
155,O,B,Reduced,27.04346536
156,O,C,Reduced,26.3289166
157,P,C,Reduced,32.50534067
158,P,B,Reduced,32.95067022
159,R,A,Reduced,29.82196124
160,R,B,Reduced,29.54491772
161,S,A,Reduced,2.829851812
162,S,B,Reduced,1.99960792
163,T,A,Reduced,27.91293214
164,T,B,Reduced,24.29955033
165,T,C,Reduced,19.02754356
166,U,A,Reduced,29.69304657
167,U,B,Reduced,29.68222972
168,U,C,Reduced,30.41918852
169,V,A,Reduced,32.44364697
170,V,B,Reduced,33.38153578
171,V,C,Reduced,30.39091028
